Suburb,State,Latitude,Longitude
BROOKTON,WA,-32.3554555,117.0484617
BROOKVALE,NSW,-33.7628854,151.2707024
BROOKWATER,QLD,-27.656879,152.8960595
BROOME,WA,-17.9566909,122.2240181
BROULEE,NSW,-35.8483333,150.1677778
BROWN HILL,VIC,-37.546545,143.9155348
BROWNS PLAINS,QLD,-27.662885,153.0516055
BRUCE,ACT,-35.2453517,149.0916334
BRUCE ROCK,WA,-31.8768806,118.1483367
BRUNSWICK,VIC,-37.7664715,144.9613103
BRUNSWICK EAST,VIC,-37.7688802,144.9776825
BRUNSWICK HEADS,NSW,-28.538885,153.5483811
BRUNSWICK NORTH,VIC,-37.7843451,144.9812143
BRUNSWICK WEST,VIC,-37.7633334,144.9425563
BRUTHEN,VIC,-37.7083455,147.8535571
BUANGOR,VIC,-37.384815,143.1667636
BUCASIA,QLD,-21.0354055,149.14965
BUCCA,NSW,-30.1469444,153.0941667
BUDDINA,QLD,-26.693918,153.1325953
BUDERIM,QLD,-26.6879355,153.0685624
BUDGEWOI,NSW,-33.2378117,151.5646664
BUFF POINT,NSW,-33.2316667,151.5344444
BULAHDELAH,NSW,-32.4128925,152.2075678
BULGARRA,WA,-20.73061,116.8572
BULIMBA,QLD,-27.4491865,153.0604866
BULL CREEK,WA,-32.047092,115.8541087
BULLEEN,VIC,-37.7688992,145.0871992
BULLI,NSW,-34.3329033,150.9125015
BULLSBROOK,WA,-31.6637374,116.0272659
BULN BULN,VIC,-38.0983684,145.9412867
BUNBURY,WA,-33.3267797,115.636698
BUNDABERG,QLD,-24.8653253,152.3516785
BUNDABERG CENTRAL,QLD,-24.8676285,152.3506787
BUNDABERG EAST,QLD,-24.8589335,152.373939
BUNDABERG NORTH,QLD,-24.8551356,152.3425211
BUNDABERG SOUTH,QLD,-24.873656,152.3587074
BUNDABERG WEST,QLD,-24.8724217,152.3377928
BUNDALL,QLD,-28.012763,153.4058058
BUNDAMBA,QLD,-27.6044365,152.8114881
BUNDANOON,NSW,-34.6562168,150.2997071
BUNDARRA,NSW,-30.1697551,151.0739435
BUNDEENA,NSW,-34.0845443,151.1512348
BUNDOORA,VIC,-37.6982468,145.0596757
BUNGALOW,QLD,-16.9367595,145.7577305
BUNGAREE,VIC,-37.561704,144.0040938
BUNGENDORE,NSW,-35.2547375,149.4387166
BUNINYONG,VIC,-37.6502361,143.8839811
BUNYIP,VIC,-38.0971242,145.7208993
BURANDA,QLD,-27.4965485,153.0404486
BURBANK,QLD,-27.5651265,153.1618039
BURDELL,QLD,-19.2302325,146.6974535
BURKETOWN,QLD,-17.7400597,139.5465396
BURLEIGH HEADS,QLD,-28.1021343,153.4395799
BURLEIGH WATERS,QLD,-28.0848122,153.4353217
BURLEIGH WEST,QLD,-28.1107626,153.4392919
BURNETT HEADS,QLD,-24.7656579,152.4096358
BURNIE,TAS,-41.0523688,145.9064073
BURNS BEACH,WA,-31.7282352,115.7199225
BURNSIDE,QLD,-26.6309735,152.9411999
BURNSIDE,SA,-34.944479,138.6472958
BURNSIDE,VIC,-37.749374,144.753027
BURNSIDE HEIGHTS,VIC,-37.7324225,144.7555804
BURONGA,NSW,-34.1692396,142.1813037
BURPENGARY,QLD,-27.1548645,152.9708226
BURPENGARY EAST,QLD,-27.1416507,152.9997532
BURRA,SA,-33.6713629,138.9300733
BURRADOO,NSW,-34.5013286,150.407515
BURRANEER,NSW,-34.0644603,151.1377905
BURRAWANG,NSW,-34.5934823,150.517518
BURREN JUNCTION,NSW,-30.1045226,148.9671012
BURRINGBAR,NSW,-28.4333458,153.4724861
BURRUMBUTTOCK,NSW,-35.8342848,146.8060099
BURSWOOD,WA,-31.9602196,115.8962701
BURTON,SA,-34.7377001,138.6001346
BURWOOD,NSW,-33.8858088,151.1024805
BURWOOD,VIC,-37.851671,145.0805767
BURWOOD EAST,VIC,-37.8535935,145.150423
BURWOOD HEIGHTS,NSW,-33.8894444,151.1038889
BUSBY,NSW,-33.915,150.8844444
BUSHLAND BEACH,QLD,-19.1998385,146.6788884
BUSSELTON,WA,-33.644499,115.3488754
BUTE,SA,-33.8658284,138.007185
BUTLER,WA,-31.6356944,115.7003262
BUXTON,NSW,-34.2549293,150.5344846
BUXTON,VIC,-37.4352955,145.7170196
BYFORD,WA,-32.2252534,116.006903
BYRON BAY,NSW,-28.6483333,153.6177778
Ballarat East,VIC,-37.564603,143.8970466
Barunga,NT,-14.5250033,132.8647963
Bathurst,NSW,-33.4166378,149.5804943
Beverly Hills,NSW,-33.9497444,151.0817342
Burnie,TAS,-41.0523688,145.9064073
CABARITA,VIC,-34.2041051,142.0867179
CABLE BEACH,WA,-17.9328115,122.2136937
CABOOLTURE,QLD,-27.0839336,152.9510863
CABOOLTURE SOUTH,QLD,-27.093826,152.9502117
CABRAMATTA,NSW,-33.8983188,150.9344502
CABRAMATTA WEST,NSW,-33.8916949,150.914639
CADDENS,NSW,-33.773603,150.7288643
CAIRNLEA,VIC,-37.7593157,144.7878098
CAIRNS,QLD,-16.9206657,145.7721854
CAIRNS CITY,QLD,-16.917757,145.7756946
CALALA,NSW,-31.1316667,150.9511111
CALAMVALE,QLD,-27.6169467,153.0495303
CALDERWOOD,NSW,-34.5566667,150.7427778
CALEN,QLD,-20.895099,148.7422122
CALIFORNIA GULLY,VIC,-36.728377,144.2586963
CALISTA,WA,-32.2471289,115.8074271
CALLAGHAN,NSW,-32.8927988,151.7011832
CALLALA BAY,NSW,-34.9950846,150.7178837
CALLINGTON,SA,-35.1165844,139.0406678
CALLIOPE,QLD,-24.044706,151.1765758
CALOUNDRA,QLD,-26.7981633,153.1354434
CALOUNDRA WEST,QLD,-26.8051945,153.100046
CALOUNDRA WEST ,QLD,-26.8051945,153.100046
CALWELL,ACT,-35.4403858,149.1071069
CAMBERWELL,VIC,-37.8384623,145.0740767
CAMBERWELL EAST,VIC,-37.8257185,145.0683091
CAMBEWARRA,NSW,-34.813737,150.5619744
CAMBOOYA,QLD,-27.7295725,151.8448455
CAMBRIDGE,TAS,-42.8338257,147.4486122
CAMBRIDGE GARDENS,NSW,-33.7377967,150.7205556
CAMBRIDGE PARK,NSW,-33.7501365,150.7269025
CAMDEN,NSW,-34.016087,150.7198849
CAMDEN PARK,NSW,-34.09,150.7177778
CAMDEN PARK,SA,-34.967136,138.5414065
CAMDEN SOUTH,NSW,-34.0829554,150.6966472
CAMERON PARK,NSW,-32.9044444,151.6091667
CAMILLO,WA,-32.112701,116.0031528
CAMIRA,QLD,-27.634499,152.9199269
CAMMERAY,NSW,-33.8222738,151.2139868
CAMP HILL,QLD,-27.4942385,153.0771926
CAMP MOUNTAIN,QLD,-27.3983075,152.8793624
CAMPANIA,TAS,-42.6646004,147.4206797
CAMPBELL,ACT,-35.2913397,149.158176
CAMPBELL TOWN,TAS,-41.9284173,147.4958801
CAMPBELLFIELD,VIC,-37.6641298,144.959583
CAMPBELLS CREEK,VIC,-37.1064875,144.2137674
CAMPBELLTOWN,NSW,-34.0636914,150.8206159
CAMPBELLTOWN,SA,-34.8858442,138.6797271
CAMPERDOWN,NSW,-33.8896116,151.1800986
CAMPERDOWN,VIC,-38.228973,143.136785
CAMPSIE,NSW,-33.9143894,151.1032133
CANADIAN,VIC,-37.5844335,143.8824689
CANBERRA,ACT,-35.2975906,149.1012676
CANBERRA AIRPORT,ACT,-35.304391,149.1936903
CANLEY HEIGHTS,NSW,-33.8816667,150.9261111
CANLEY VALE,NSW,-33.8871356,150.9462342
CANNING VALE,WA,-32.0813818,115.916882
CANNINGTON,WA,-32.0136965,115.945191
CANNON HILL,QLD,-27.472393,153.0927423
CANNONVALE,QLD,-20.2818825,148.6936558
CANOWINDRA,NSW,-33.5628557,148.6610118
CANTERBURY,NSW,-33.9130231,151.1170149
CANTERBURY,VIC,-37.8247469,145.0807636
CANTERBURY SOUTH,NSW,-33.9177463,151.1159313
CANUNGRA,QLD,-28.0385865,153.1419128
CANUNGRA ,QLD,-28.0385865,153.1419128
CAPALABA,QLD,-27.522037,153.1918063
CAPE CLEAR,VIC,-37.7782015,143.6094976
CAPEL,WA,-33.5192668,115.6064648
CAPELLA,QLD,-23.0830995,148.0218077
CAPITAL HILL,ACT,-35.3078633,149.1244839
CAPTAINS FLAT,NSW,-35.5885042,149.4495633
CARAGABAL,NSW,-33.8440715,147.74267
CARAVONICA,QLD,-16.859832,145.683585
CARBROOK,QLD,-27.6724095,153.2550951
CARDIFF,NSW,-32.9430556,151.6552778
CARDIFF SOUTH,NSW,-32.9525,151.6622222
CARDINIA,VIC,-38.1436364,145.4178196
CARDWELL,QLD,-18.2705885,146.0163542
CAREY BAY,NSW,-33.0288889,151.6094444
CARINA,QLD,-27.4872985,153.1000363
CARINA HEIGHTS,QLD,-27.5062285,153.0930781
CARINDALE,QLD,-27.5032764,153.1040678
CARINE,WA,-31.8539782,115.775931
CARINGBAH,NSW,-34.0354477,151.1248018
CARINGBAH SOUTH,NSW,-34.0554491,151.1205937
CARLINGFORD,NSW,-33.7744947,151.0475215
CARLISLE,WA,-31.980912,115.9112665
CARLTON,NSW,-33.9707904,151.1213704
CARLTON,VIC,-37.8004228,144.9684343
CARLTON NORTH,VIC,-37.7845585,144.9728553
"CARLTON,",VIC,-37.8004228,144.9684343
CARMILA,QLD,-21.8802145,149.3635044
CARNAMAH,WA,-29.730165,115.9667961
CARNARVON,WA,-24.8826131,113.6576486
CARNEGIE,VIC,-37.8862295,145.0585695
CARNES HILL,NSW,-33.9378294,150.8504602
CAROLE PARK,QLD,-27.6217453,152.9288259
CAROLINE SPRINGS,VIC,-37.7340623,144.7370017
CARRAMAR,NSW,-33.8838889,150.9636111
CARRAMAR,WA,-31.7007986,115.7834881
CARRARA,QLD,-28.021166,153.3691856
CARRINGTON,NSW,-32.9126582,151.766147
CARRUM,VIC,-38.0775251,145.1230622
CARRUM DOWNS,VIC,-38.1003312,145.1788657
CARSELDINE,QLD,-27.3470687,153.0288395
CARSS PARK,NSW,-33.9869843,151.1169446
CARTWRIGHT,NSW,-33.9250864,150.8913549
CASEY,ACT,-35.1670015,149.0947152
CASHMERE,QLD,-27.2988918,152.9122352
CASINO,NSW,-28.8631616,153.048155
CASTERTON,VIC,-37.585285,141.4037762
CASTLE COVE,NSW,-33.7865285,151.2143187
CASTLE HILL,NSW,-33.7317524,151.0069279
CASTLECRAG,NSW,-33.8003455,151.2197795
CASTLEMAINE,VIC,-37.0664778,144.2200032
CASTLEREAGH,NSW,-33.6647962,150.6844521
CASUARINA,NSW,-28.2888946,153.5738752
CASUARINA,NT,-12.3737641,130.8823639
CASULA,NSW,-33.9522222,150.8952778
CATHERINE FIELD,NSW,-33.9926657,150.7650245
CATTAI,NSW,-33.5482394,150.9164045
CAULFIELD,VIC,-37.8775177,145.0424939
CAULFIELD EAST,VIC,-37.881276,145.0420847
CAULFIELD NORTH,VIC,-37.870828,145.0218005
CAULFIELD SOUTH,VIC,-37.894699,145.0249323
CAVENDISH,VIC,-37.4852195,142.0714697
CAVERSHAM,WA,-31.8750099,115.9748193
CAVES BEACH,NSW,-33.1122864,151.6449973
CAWARRAL,QLD,-23.2510925,150.6709029
CAWONGLA,NSW,-28.6005882,153.0978539
CECIL HILLS,NSW,-33.89,150.8511111
CEDAR CREEK,QLD,-27.8470363,153.1963688
CEDAR GROVE,QLD,-27.8598055,152.9753951
CEDUNA,SA,-32.1263581,133.6742187
CENTENARY HEIGHTS,QLD,-27.586662,151.9622833
CENTENNIAL PARK,NSW,-33.8977778,151.2338889
CENTENNIAL PARK,WA,-35.0154981,117.8824529
CERES,VIC,-38.1696813,144.2757905
CESSNOCK,NSW,-32.8316667,151.3511111
CHADSTONE,VIC,-37.8822799,145.1001365
CHAIN VALLEY BAY,NSW,-33.1688,151.5748
CHAMBERS FLAT,QLD,-27.74646,153.0834286
CHAMPION LAKES,WA,-32.117917,115.987317
CHAPEL HILL,QLD,-27.4994565,152.9497599
CHAPMAN,ACT,-35.3562094,149.0374543
CHARLEMONT,VIC,-38.20975,144.3686705
CHARLES TOWN,NSW,,
CHARLESTOWN,NSW,-32.9640725,151.6939632
CHARLEVILLE,QLD,-26.406265,146.2420417
CHARLTON,VIC,-36.26861,143.3518194
CHARMHAVEN,NSW,-33.2230209,151.5057999
CHARNWOOD,ACT,-35.2001777,149.0341356
CHARTERS TOWERS,QLD,-20.0714089,146.2709824
CHARTERS TOWERS CITY,QLD,-20.0762895,146.2591896
CHATHAM,NSW,-31.8984417,152.4841673
CHATSWOOD,NSW,-33.7967377,151.1814306
CHATSWORTH,VIC,-37.840286,142.6595816
CHELMER,QLD,-27.5122288,152.9744075
CHELSEA,VIC,-38.0497386,145.121407
CHELSEA HEIGHTS,VIC,-38.0395381,145.132786
CHELTENHAM,NSW,-33.7569444,151.0775
CHELTENHAM,SA,-34.8675787,138.5242666
CHELTENHAM,VIC,-37.9670081,145.0546951
CHERBOURG,QLD,-26.2873665,151.9289063
CHERMSIDE,QLD,-27.384991,153.033322
CHERMSIDE WEST,QLD,-27.384145,153.0125094
CHERRYBROOK,NSW,-33.7227778,151.0461111
CHESTER HILL,NSW,-33.8816667,151.0011111
CHEVALLUM,QLD,-26.6995585,152.9956669
CHIFLEY,ACT,-35.3532951,149.0768898
CHIFLEY,NSW,-33.9702813,151.2394867
CHILDERS,QLD,-25.246446,152.2608358
CHILLINGHAM,NSW,-28.3121452,153.275003
CHILTERN,VIC,-36.1512767,146.6085442
CHINCHILLA,QLD,-26.7501005,150.6228556
CHINDERAH,NSW,-28.2335029,153.5562456
CHIPPENDALE,NSW,-33.8863291,151.1998211
CHIPPING NORTON,NSW,-33.919687,150.9630711
CHIRNSIDE PARK,VIC,-37.9047634,144.6530424
CHISHOLM,ACT,-35.4219655,149.1248452
CHISHOLM,NSW,-32.7567794,151.6338999
CHITTAWAY BAY,NSW,-33.326936,151.4367385
CHRISTIE DOWNS,SA,-35.1272875,138.4969434
CHRISTIES BEACH,SA,-35.1395801,138.4697587
CHRISTMAS ISLAND,WA,-10.4357925,105.6684756
CHUM CREEK,VIC,-37.6072449,145.4914676
CHURCHILL,QLD,-27.6354155,152.7504615
CHURCHILL,VIC,-38.3148078,146.4240251
CHUWAR,QLD,-27.554469,152.7730289
CITY BEACH,WA,-31.9364674,115.7599058
CLAPHAM,SA,-34.9901443,138.6050177
CLARE,SA,-33.8333914,138.6120042
CLAREMONT,TAS,-42.7892774,147.2542141
CLAREMONT,WA,-31.980291,115.7839988
CLAREMONT MEADOWS,NSW,-33.7691667,150.7483333
CLARENCE PARK,SA,-34.9614472,138.5803984
CLARENCE TOWN,NSW,-32.5873173,151.7800571
CLARENDON,NSW,-33.6105511,150.7888909
CLARENDON,SA,-35.1092718,138.6293077
CLARENDON VIA LOWOOD,QLD,,
CLARINDA,VIC,-37.9431093,145.1060206
CLARKSON,WA,-31.6906707,115.7380776
CLAYFIELD,QLD,-27.4182154,153.0578224
CLAYMORE,NSW,-34.0469444,150.81
CLAYTON,VIC,-37.9142211,145.1268559
CLAYTON NORTH,VIC,-37.9038127,145.1234926
CLAYTON SOUTH,VIC,-37.9320359,145.1245064
CLEAR ISLAND WATERS,QLD,-28.042512,153.3974897
CLEARVIEW,SA,-34.8573872,138.6137563
CLEMTON PARK,NSW,-33.9258322,151.1029075
CLERGATE,NSW,-33.1816635,149.1011039
CLERMONT,QLD,-22.8390195,147.1552217
CLEVE,SA,-33.6607199,136.2890703
CLEVELAND,QLD,-27.5262987,153.2667298
CLIFTON,QLD,-27.937772,151.9184967
CLIFTON BEACH,QLD,-16.7725105,145.6705731
CLIFTON HILL,VIC,-37.7888763,144.9953613
CLIFTON SPRINGS,VIC,-38.15307,144.5726575
CLINTON,QLD,-23.8774475,151.2147194
CLONCURRY,QLD,-20.7051873,140.5058305
CLONTARF,QLD,-27.247414,153.082913
CLOVELLY,NSW,-33.9126387,151.2617904
CLOVELLY PARK,SA,-34.998473,138.5708472
CLOVERDALE,WA,-31.9624358,115.9447482
CLUNES,NSW,-28.7322876,153.4056084
CLUNES,VIC,-37.287625,143.7802916
CLYDE,VIC,-38.1326345,145.3290375
CLYDE NORTH,VIC,-38.1028681,145.3302814
COAL POINT,NSW,-33.0372222,151.6094444
COBAR,NSW,-31.9666628,145.3045054
COBARGO,NSW,-36.3880083,149.8885053
COBBITTY,NSW,-34.0104185,150.6922716
COBBLEBANK,VIC,-37.7125512,144.6040773
COBDEN,VIC,-38.3282494,143.07788
COBDOGLA,SA,-34.2430364,140.4046258
COBRAM,VIC,-35.9197782,145.6484379
COBURG,VIC,-37.7449752,144.9643314
COBURG EAST,VIC,-37.7548291,144.9643812
COBURG NORTH,VIC,-37.7272635,144.9678538
COCKATOO,VIC,-37.9359421,145.4932503
COCKATOO VALLEY,SA,-34.6306163,138.8382939
COCKBURN CENTRAL,WA,-32.1253324,115.8583575
COEN,QLD,-13.809115,143.3510185
COES CREEK,QLD,-26.649001,152.9465044
COFFEE CAMP,NSW,-28.665,153.2177778
COFFS HARBOUR,NSW,-30.2985996,153.1094116
COHUNA,VIC,-35.80826,144.2200068
COIMADAI,VIC,-37.590415,144.4881957
COLAC,VIC,-38.3399766,143.5858537
COLBINABBIN,VIC,-36.6044235,144.8041336
COLDSTREAM,VIC,-37.7291014,145.378424
COLEAMBALLY,NSW,-34.8059444,145.8805161
COLEBEE,NSW,-33.7270077,150.8521783
COLEDALE,NSW,-34.2895651,150.9432304
COLERAINE,VIC,-37.5998611,141.6895453
COLLARENEBRI,NSW,-29.542365,148.5777288
COLLAROY PLATEAU,NSW,-33.7303841,151.2910394
COLLECTOR,NSW,-34.9133385,149.4322749
COLLEGE PARK,SA,-34.9115411,138.6197277
COLLIE,WA,-33.3591223,116.1536169
COLLINGWOOD,VIC,-37.802104,144.9881387
COLLINGWOOD PARK,QLD,-27.62326,152.8537556
COLLINSVALE,TAS,-42.8405288,147.1973863
COLLINSVILLE,QLD,-20.557065,147.82533
COLLINSWOOD,SA,-34.8872868,138.6122364
COLO VALE,NSW,-34.4004648,150.4839022
COLONEL LIGHT GARDENS,SA,-34.9835849,138.5946908
COLYTON,NSW,-33.7822222,150.7958333
COMBOYNE,NSW,-31.6055232,152.468029
COMO,NSW,-34.0032179,151.0631257
COMO,WA,-31.999702,115.8676543
COMO WEST,NSW,-34.0037335,151.0616335
CONCORD,NSW,-33.8556716,151.1067667
CONCORD WEST,NSW,-33.843168,151.0920563
CONDELL PARK,NSW,-33.9227893,151.0113353
CONDER,ACT,-35.4592733,149.1043282
CONDOBOLIN,NSW,-33.0880805,147.1479606
CONDON,QLD,-19.32994,146.7167638
CONGUPNA,VIC,-36.2856115,145.4750199
CONISTON,NSW,-34.4378628,150.8851499
CONNELLS POINT,NSW,-33.9869476,151.0942725
CONNOLLY,WA,-31.747944,115.7497916
CONSTITUTION HILL,NSW,-33.7952082,150.9727813
COOBER PEDY,SA,-29.0133682,134.7536164
COOGEE,NSW,-33.9217004,151.2557975
COOGEE,WA,-32.121836,115.7684345
COOKS HILL,NSW,-32.9316667,151.7677778
COOKTOWN,QLD,-15.3718125,144.9028573
COOLABUNIA,QLD,-26.598519,151.8888255
COOLAH,NSW,-31.8230012,149.7205444
COOLALINGA,NT,-12.5242772,131.0403515
COOLAMON,NSW,-34.5997239,147.1171221
COOLANGATTA,QLD,-28.1703323,153.5304637
COOLAROO,VIC,-37.6612428,144.9260311
COOLBELLUP,WA,-32.0812445,115.8060784
COOLBINIA,WA,-31.91267,115.8537
COOLOONGUP,WA,-32.2966958,115.7685636
COOLUM,QLD,-26.529927,153.0920173
COOLUM BEACH,QLD,-26.53284,153.0697206
COOMA,NSW,-36.23563,149.1264221
COOMANDOOK,SA,-35.4708842,139.6979072
COOMBABAH,QLD,-27.910307,153.3691087
COOMBS,ACT,-35.3167344,149.0425254
COOMERA,QLD,-27.84883,153.3296968
COOMERA EAST,QLD,,
COOMINYA,QLD,-27.375555,152.4698558
COONABARABRAN,NSW,-31.2728076,149.2733225
COONAMBLE,NSW,-30.8652097,148.2623773
COOPERNOOK,NSW,-31.8257047,152.6143477
COOPERS PLAINS,QLD,-27.566855,153.0367212
COORABELL,NSW,-28.6316731,153.5011074
COORANBONG,NSW,-33.0758112,151.4539993
COOROY,QLD,-26.424604,152.8986489
COORPAROO,QLD,-27.4962028,153.0595973
COOTAMUNDRA,NSW,-34.6394422,148.0252527
COOYA BEACH,QLD,-16.443917,145.4205358
COPACABANA,NSW,-33.49,151.4344444
COPMANHURST,NSW,-29.5859089,152.7763591
CORAGULAC,VIC,-38.2709198,143.5198977
CORAKI,NSW,-28.9868389,153.2874085
CORAMBA,NSW,-30.2208606,153.0148823
CORDALBA,QLD,-25.1577987,152.2123761
CORDEAUX HEIGHTS,NSW,-34.4440459,150.8270128
CORINDA,QLD,-27.5430495,152.9843696
CORINDI BEACH,NSW,-30.0295883,153.1983224
CORINELLA,VIC,-38.4249085,145.4754894
CORIO,VIC,-38.074088,144.3586481
CORNUBIA,QLD,-27.6687965,153.2014437
COROMANDEL VALLEY,SA,-35.0450223,138.6236483
COROWA,NSW,-35.9995747,146.3906094
CORRIGIN,WA,-32.3330288,117.8760602
CORRIMAL,NSW,-34.3757279,150.9048557
CORRYONG,VIC,-36.185801,147.8966142
COTTESLOE,WA,-31.9955715,115.7558367
COUTTS CROSSING,NSW,-29.8309061,152.8913703
COWANDILLA,SA,-34.9324599,138.5569406
COWARAMUP,WA,-33.8512674,115.1029727
COWELL,SA,-33.6841515,136.9236987
COWES,VIC,-38.4502447,145.2389787
COWRA,NSW,-33.8111285,148.6935649
CRACE,ACT,-35.2028802,149.1074742
CRAFERS,SA,-34.9933414,138.7162883
CRAIGIE,WA,-31.7815603,115.7710675
CRAIGIEBURN,VIC,-37.6022613,144.9430882
CRAIGMORE,SA,-34.7006365,138.7095493
CRANBOURNE,VIC,-38.0997308,145.2807256
CRANBOURNE EAST,VIC,-38.1080912,145.3056221
CRANBOURNE NORTH,VIC,-38.0775184,145.2989039
CRANBOURNE SOUTH,VIC,-38.1577683,145.2624214
CRANBOURNE WEST,VIC,-38.102241,145.2517182
CRANBROOK,QLD,-19.305269,146.7532249
CRANEBROOK,NSW,-33.7048583,150.70641
CRAWLEY,WA,-31.9746305,115.8175988
CREMORNE,NSW,-33.8260081,151.2254326
CRESCENT HEAD,NSW,-31.19,152.9761111
CRESTMEAD,QLD,-27.689416,153.0914486
CRESTWOOD,NSW,-35.3484121,149.217538
CRESWICK,VIC,-37.4245857,143.8939669
CRIB POINT,VIC,-38.3659896,145.2041464
CRINGILA,NSW,-34.4670421,150.8782854
CROMER,NSW,-33.7385227,151.2762995
CRONULLA,NSW,-34.0575259,151.1523851
CROOKWELL,NSW,-34.4576958,149.4696713
CROUDACE BAY,NSW,-33.0038889,151.6427778
CROWS NEST,NSW,-33.8256273,151.2014745
CROWS NEST,QLD,-27.2612975,152.0555164
CROYDON,NSW,-33.8777935,151.1156502
CROYDON,QLD,-18.5136366,141.9670155
CROYDON,VIC,-37.7955004,145.2801507
CROYDON HILLS,VIC,-37.7743527,145.2661042
CROYDON NORTH,VIC,-37.7737415,145.2857882
CROYDON PARK,NSW,-33.8975316,151.1024641
CROYDON PARK,SA,-34.8802501,138.5674908
CROYDON SOUTH,VIC,-37.8155329,145.2780722
CRYSTAL BROOK,SA,-33.3518409,138.2067781
CUDAL,NSW,-33.2864481,148.7405707
CULBURRA BEACH,NSW,-34.9287373,150.7628684
CULCAIRN,NSW,-35.6674081,147.0365471
CULLACABARDEE,WA,-31.8225364,115.9113004
CUMBERLAND PARK,SA,-34.9720383,138.5866928
CUMMINS,SA,-34.2644192,135.726256
CUMNOCK,NSW,-32.9292402,148.7545294
CUNDERDIN,WA,-31.6511264,117.2432285
CUNDLETOWN,NSW,-31.8816666,152.5177778
CUNNAMULLA,QLD,-27.99908,145.7794049
CURLEWIS,VIC,-38.181124,144.5130989
CURRAJONG,QLD,-19.275548,146.7790303
CURRAMBINE,WA,-31.7354623,115.7456718
CURRANS HILL,NSW,-34.0463519,150.7712456
CURRIE   KING ISLAND,TAS,-39.9312629,143.8493952
CURRIMUNDI,QLD,-26.7673345,153.1236581
CURRUMBIN,QLD,-28.1369655,153.4799277
CURRUMBIN VALLEY,QLD,-28.204048,153.3980364
CURRUMBIN WATERS,QLD,-28.157286,153.4610664
CURTIN,ACT,-35.3246324,149.0773776
CYGNET,TAS,-43.1599075,147.0759409
Cheltenham,VIC,-37.9670081,145.0546951
Clyde,VIC,-38.1326345,145.3290375
Collaroy,NSW,-33.7382194,151.2996618
Coolaroo,VIC,-37.6612428,144.9260311
D'AGUILAR,QLD,-26.9870973,152.7980323
DACEYVILLE,NSW,-33.9289328,151.2251839
DAGLISH,WA,-31.9517991,115.8134022
DAISY HILL,QLD,-27.643611,153.1538113
DAKABIN,QLD,-27.2275114,152.9845805
DALBY,QLD,-27.1822593,151.2634168
DALEYS POINT,NSW,-33.5044872,151.3484658
DALKEITH,WA,-31.9956976,115.7999434
DALLAS,VIC,-37.6708194,144.9354163
DALMENY,NSW,-36.1679905,150.1286974
DALWALLINU,WA,-30.1299745,116.9455417
DALYELLUP,WA,-33.410681,115.6131353
DALYSTON,VIC,-38.5681145,145.5467419
DAMPIER,WA,-20.6624798,116.7119013
DANDENONG,VIC,-37.98749,145.2147923
DANDENONG NORTH,VIC,-37.9558319,145.2143234
DANDENONG SOUTH,VIC,-38.0279936,145.2209236
DAPTO,NSW,-34.493037,150.791789
DARCH,WA,-31.812791,115.8452526
DARDANUP,WA,-33.4166045,115.8649538
DARETON,NSW,-34.0955154,142.0392701
DARKAN,WA,-33.3362568,116.7401489
DARLEY,VIC,-37.6365605,144.4322125
DARLING HEIGHTS,QLD,-27.5959638,151.9319469
DARLING POINT,NSW,-33.8730723,151.2376378
DARLINGHURST,NSW,-33.8783381,151.219225
DARLINGTON,NSW,-33.890862,151.1932156
DARLINGTON,WA,-31.9168074,116.0760614
DARNLEY ISLAND,QLD,-9.5851102,143.7697521
DARNUM,VIC,-38.1875459,146.0037143
DARRA,QLD,-27.5659207,152.9523917
DARRAWEIT GUIM,VIC,-37.4018756,144.8939699
DARTMOOR,VIC,-37.895212,141.2679429
DARWIN,NT,-12.46044,130.8410469
DARWIN ,NT,-12.46044,130.8410469
DAVIDSON,NSW,-33.7398592,151.1942222
DAVOREN PARK,SA,-34.6910694,138.6683869
DAW PARK,SA,-34.9853742,138.5877817
DAWESVILLE,WA,-32.6342692,115.638048
DAYBORO,QLD,-27.1959179,152.8245404
DAYLESFORD,VIC,-37.3414775,144.1465866
DAYTON,WA,-31.8557737,115.9740664
DEAGON,QLD,-27.3278415,153.0589292
DEAKIN,ACT,-35.3192746,149.1030764
DEAN PARK,NSW,-33.7328296,150.852577
DEANSIDE,VIC,-37.729087,144.704081
DECEPTION BAY,QLD,-27.1931635,153.0274736
DEDERANG,VIC,-36.473109,147.0185732
DEE WHY,NSW,-33.7526555,151.2875707
DEEBING HEIGHTS,QLD,-27.685892,152.7620067
DEEPDENE,VIC,-37.8121234,145.0664377
DEEPWATER,NSW,-29.4433982,151.8451012
DEER PARK,VIC,-37.7686602,144.7713077
DEERAGUN,QLD,-19.248923,146.6683715
DELACOMBE,VIC,-37.584019,143.8172128
DELAHEY,VIC,-37.7198138,144.7773228
DELANEYS CREEK,QLD,-27.0024433,152.7872767
DELEGATE,NSW,-37.043448,148.9395784
DELORAINE,TAS,-41.5250938,146.65993
DENHAM COURT,NSW,-33.9813889,150.8294444
DENILIQUIN,NSW,-35.5302183,144.9597178
DENISTONE,NSW,-33.7989066,151.0887
DENISTONE EAST,NSW,-33.7962842,151.0982887
DENMAN,NSW,-32.3895052,150.6880596
DENMAN PROSPECT,ACT,-35.2945757,149.0270241
DENMARK,WA,-34.9604365,117.3551157
